#Microcyc Name	#RefSeq Name	#PGDB Name	#Microcyc TaxID	#Microcyc ID	#Reason to keep
methanothermobacter thermautotrophicus delta h	methanothermobacter thermautotrophicus str. delta h	187420.rep1Ucyc	187420	12	Microcyc Name in RefSeq Name and Same TaxID
methanocaldococcus jannaschii dsm 2661	methanocaldococcus jannaschii dsm 2661	243232.rep1Ucyc	243232	13	Same ID Same Tax ID
pyrococcus abyssi ge5	pyrococcus abyssi ge5	272844.rep1Ucyc	272844	14	Same ID Same Tax ID
pyrococcus furiosus dsm 3638	pyrococcus furiosus dsm 3638	186497.rep1Ucyc	186497	91	Same ID Same Tax ID
pyrococcus horikoshii ot3	pyrococcus horikoshii ot3	70601.rep1Ucyc	70601	92	Same ID Same Tax ID
thermoplasma volcanium gss1	thermoplasma volcanium gss1	273116.rep1Ucyc	273116	93	Same ID Same Tax ID
methanosarcina acetivorans c2a	methanosarcina acetivorans c2a	188937.rep1Ucyc	188937	235	Same ID Same Tax ID
methanosarcina barkeri fusaro	methanosarcina barkeri str. fusaro	269797.nan1Ucyc	269797	236	Microcyc Name in RefSeq Name and Same TaxID
methanosarcina mazei go1	methanosarcina mazei go1	192952.nan1Ucyc	192952	237	Same ID Same Tax ID
archaeoglobus fulgidus dsm 4304	archaeoglobus fulgidus dsm 4304	224325.rep1Ucyc	224325	244	Same ID Same Tax ID
haloarcula marismortui atcc 43049	haloarcula marismortui atcc 43049	272569.nan1Ucyc	272569	245	Same ID Same Tax ID
haloquadratum walsbyi dsm 16790	haloquadratum walsbyi dsm 16790	362976.nan1Ucyc	362976	248	Same ID Same Tax ID
hyperthermus butylicus dsm 5456	hyperthermus butylicus dsm 5456	415426.rep1Ucyc	415426	249	Same ID Same Tax ID
metallosphaera sedula dsm 5348	metallosphaera sedula dsm 5348	399549.rep1Ucyc	399549	250	Same ID Same Tax ID
methanococcoides burtonii dsm 6242	methanococcoides burtonii dsm 6242	259564.rep1Ucyc	259564	251	Same ID Same Tax ID
methanococcus maripaludis c5	methanococcus maripaludis c5	402880.nan1Ucyc	402880	252	Same ID Same Tax ID
methanococcus maripaludis s2	methanococcus maripaludis s2	267377.nan1Ucyc	267377	253	Same ID Same Tax ID
methanocorpusculum labreanum z	methanocorpusculum labreanum z	410358.rep1Ucyc	410358	254	Same ID Same Tax ID
methanobrevibacter smithii atcc 35061	methanobrevibacter smithii atcc 35061	420247.rep1Ucyc	420247	255	Same ID Same Tax ID
methanoculleus marisnigri jr1	methanoculleus marisnigri jr1	368407.rep1Ucyc	368407	256	Same ID Same Tax ID
methanosphaera stadtmanae dsm 3091	methanosphaera stadtmanae dsm 3091	339860.rep1Ucyc	339860	259	Same ID Same Tax ID
methanospirillum hungatei jf-1	methanospirillum hungatei jf-1	323259.rep1Ucyc	323259	260	Same ID Same Tax ID
natronomonas pharaonis dsm 2160	natronomonas pharaonis dsm 2160	348780.rep1Ucyc	348780	262	Same ID Same Tax ID
